date,excellent,fair,good,link,product_id,product_name,rating,reviews
27_Oct_22,628.34,596.43,609.19,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-max-256-gb-graphite-unlocked/a05c14b7-f865-42a4-ac25-72060adae132,iPhone 12 Pro Max 256 GB - Graphite - Unlocked,iPhone 12 Pro Max,4.2/5,(177 reviews)
27_Oct_22,670.00,605.00,622.58,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-max-256-gb-gold-unlocked/a5655b78-216a-499b-b9aa-fbcb4dbde194,iPhone 12 Pro Max 256 GB - Gold - Unlocked,iPhone 12 Pro Max,4.2/5,(177 reviews)
27_Oct_22,630.92,589.58,640.00,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-max-256-gb-pacific-blue-unlocked/3c52ddef-7498-4cc2-9abe-0a7bf225a58b,iPhone 12 Pro Max 256 GB - Pacific Blue - Unlocked,iPhone 12 Pro Max,4.2/5,(177 reviews)
27_Oct_22,79.00,65.21,79.00,https://www.backmarket.co.uk/en-gb/p/iphone-se-32-gb-gold-unlocked/8157fb53-d554-4ed4-86a5-4ea7b4b22039,iPhone SE 32 GB - Gold - Unlocked,iPhone SE,3.9/5,(158 reviews)
27_Oct_22,83.55,69.00,66.00,https://www.backmarket.co.uk/en-gb/p/iphone-se-32-gb-space-gray-unlocked/2c8f7d05-9084-4d6b-a6d9-d0ff6f7bddb9,iPhone SE 32 GB - Space Gray - Unlocked,iPhone SE,3.9/5,(158 reviews)
27_Oct_22,739.00,699.00,705.89,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-256-gb-sierra-blue-unlocked/6741de0a-127a-4f21-8103-0cd77abb8574,iPhone 13 Pro 256 GB - Sierra Blue - Unlocked,iPhone 13 Pro,4.5/5,(128 reviews)
27_Oct_22,835.76,699.00,709.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-256-gb-gold-unlocked/62ba5390-d2aa-4a8e-ae9c-23e0443fe229,iPhone 13 Pro 256 GB - Gold - Unlocked,iPhone 13 Pro,4.5/5,(128 reviews)
27_Oct_22,739.00,691.70,709.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-256-gb-graphite-unlocked/23011c7e-5396-4453-a726-d689e095aa5c,iPhone 13 Pro 256 GB - Graphite - Unlocked,iPhone 13 Pro,4.5/5,(128 reviews)
27_Oct_22,399.00,326.91,349.00,https://www.backmarket.co.uk/en-gb/p/iphone-11-256-gb-white-unlocked/1dbbb866-d798-4cb9-b72e-ac0cee641d0b,iPhone 11 256 GB - White - Unlocked,iPhone 11,4.3/5,"(1,584 reviews)"
27_Oct_22,186.63,147.21,158.00,https://www.backmarket.co.uk/en-gb/p/iphone-8-256-gb-space-gray-unlocked/8fb257cd-491d-458f-95ea-c02eba4126d0,iPhone 8 256 GB - Space Gray - Unlocked,iPhone 8,4.4/5,(490 reviews)
