date,excellent,fair,good,link,product_id,product_name,provider,rating,reviews
31_Oct_22,469.98,344.00,364.05,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-256-gb-silver-unlocked/87d1d523-ada8-4c34-98fb-e265be455f9f,iPhone 11 Pro 256 GB - Silver - Unlocked,iPhone 11 Pro,Loop Mobile,4.1,408
31_Oct_22,297.00,Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-128-gb-silver-unlocked/31b45679-2f6e-4ae9-a13e-5f5a25a88408,iPhone 8 Plus 128 GB - Silver - Unlocked,iPhone 8 Plus,Regents Impex Ltd,4.4,181
31_Oct_22,299.00,234.00,249.00,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-128-gb-gold-unlocked/a39d1f5d-3224-45de-bea5-5892ad777e29,iPhone 8 Plus 128 GB - Gold - Unlocked,iPhone 8 Plus,GoodBuyTech,4.4,181
31_Oct_22,298.00,Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-8-plus-128-gb-space-gray-unlocked/531d29d3-4162-4736-b926-c95f701da346,iPhone 8 Plus 128 GB - Space Gray - Unlocked,iPhone 8 Plus,Regents Impex Ltd,4.4,181
31_Oct_22,493.00,328.65,364.05,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-256-gb-gold-unlocked/b79d17eb-b1b8-49c4-8307-3a053176ab23,iPhone 11 Pro 256 GB - Gold - Unlocked,iPhone 11 Pro,Uber Link Ltd,4.1,408
31_Oct_22,394.00,344.00,355.99,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-256-gb-midnight-green-unlocked/a998bc4e-a6ae-49ad-bfe0-298b68630d06,iPhone 11 Pro 256 GB - Midnight Green - Unlocked,iPhone 11 Pro,Loop Mobile,4.1,408
31_Oct_22,403.25,327.03,359.03,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-256-gb-space-gray-unlocked/934ce03d-d77d-4ec3-9316-ba84614ad715,iPhone 11 Pro 256 GB - Space Gray - Unlocked,iPhone 11 Pro,Stock Must Go Ltd,4.1,408
31_Oct_22,249.00,139.00,169.95,https://www.backmarket.co.uk/en-gb/p/iphone-7-256-gb-jet-black-unlocked/758a78d2-71bc-4faa-a663-b2a65b625e82,iPhone 7 256 GB - Jet Black - Unlocked,iPhone 7,MMAPHONESLTD,4.2,290
31_Oct_22,169.00,119.00,129.00,https://www.backmarket.co.uk/en-gb/p/iphone-7-256-gb-black-unlocked/a3b552e4-0a06-4ce4-b058-65c34948b982,iPhone 7 256 GB - Black - Unlocked,iPhone 7,Stock Must Go Ltd,4.2,290
31_Oct_22,169.00,Sold out,150.00,https://www.backmarket.co.uk/en-gb/p/iphone-7-256-gb-silver-unlocked/e8a9150c-8127-44c6-a31c-c4c47cc8cafc,iPhone 7 256 GB - Silver - Unlocked,iPhone 7,RueZone,4.2,290
